"param_label","param_value","peak_pct","peak_year","final_pct","final_R_mean","R_dist"
"k = 5",5,0.5,2004,0.2,1.098,"normal"
"k = 10",10,0.5,2009,0.2,1.129,"normal"
"k = 15 (baseline)",15,0.6,2011,0.2,1.147,"normal"
"k = 20",20,0.6,2012,0.2,1.129,"normal"
"k = 25",25,0.6,2010,0.3,1.118,"normal"
"k = 30",30,0.6,2012,0.2,1.147,"normal"
"k = 5",5,0.5,1980,0.2,1.051,"bimodal"
"k = 10",10,0.6,2010,0.2,1.11,"bimodal"
"k = 15 (baseline)",15,0.7,2012,0.2,1.081,"bimodal"
"k = 20",20,0.6,2011,0.2,1.105,"bimodal"
"k = 25",25,0.6,2008,0.2,1.091,"bimodal"
"k = 30",30,0.7,2010,0.2,1.08,"bimodal"
"k = 5",5,3.8,2033,2.9,1.297,"right_skewed"
"k = 10",10,8.3,2042,7.2,1.993,"right_skewed"
"k = 15 (baseline)",15,10.4,2040,9.2,1.996,"right_skewed"
"k = 20",20,11.8,2040,10.4,1.971,"right_skewed"
"k = 25",25,13.1,2042,11.6,1.996,"right_skewed"
"k = 30",30,14.8,2040,13.3,1.996,"right_skewed"
"k = 5",5,0.5,1980,0,0.883,"left_skewed"
"k = 10",10,0.5,1980,0,0.632,"left_skewed"
"k = 15 (baseline)",15,0.5,1980,0,0.719,"left_skewed"
"k = 20",20,0.5,1980,0,0.735,"left_skewed"
"k = 25",25,0.5,1980,0,1.083,"left_skewed"
"k = 30",30,0.5,1980,0,0.946,"left_skewed"
