"Scenario","R_Dist","Init_Chr","Peak_Chr","Peak_Year","Final_Chr","Final_Chr_SD","Final_NC","Final_None","Final_R_Mean","Final_Convert_Pct","Persecution_Ever"
"1: Chr + Nones (Free)","Normal",0.51,3.12,2021,1.74,0.83,0,98.26,1.1,15.7,"No"
"2: Chr + Passive NC (Free)","Normal",0.5,1.67,2020,0.91,0.39,1.32,97.77,1.069,15.9,"No"
"3: Chr + Active NC (Free)","Normal",0.51,1.48,2026,0.85,0.45,3.77,95.37,0.985,22.9,"No"
"4: Chr + Passive NC (Reg)","Normal",0.5,0.56,2011,0.22,0.17,1.29,98.49,1.147,7.1,"No"
"5: Chr + Active NC (Reg)","Normal",0.5,0.5,1980,0.19,0.11,2.33,97.48,1.105,7.7,"No"
"1: Chr + Nones (Free)","Bimodal",0.51,3.11,2019,1.31,0.59,0,98.69,1.009,16.7,"No"
"2: Chr + Passive NC (Free)","Bimodal",0.51,1.81,2015,0.79,0.35,1.24,97.97,1.023,15.9,"No"
"3: Chr + Active NC (Free)","Bimodal",0.51,1.6,2020,0.78,0.35,3.75,95.47,0.968,20.7,"No"
"4: Chr + Passive NC (Reg)","Bimodal",0.49,0.66,2011,0.23,0.1,1.24,98.53,1.081,6.1,"No"
"5: Chr + Active NC (Reg)","Bimodal",0.5,0.53,2004,0.19,0.1,2.29,97.52,1.109,7.7,"No"
"1: Chr + Nones (Free)","Right-skewed",0.55,48.25,2011,37.31,3.86,0,62.69,1.037,29.7,"No"
"2: Chr + Passive NC (Free)","Right-skewed",0.55,52.95,2018,44.38,3.59,0.48,55.15,1.013,31.9,"No"
"3: Chr + Active NC (Free)","Right-skewed",0.55,59.02,2029,51.08,2.45,0.92,48,0.998,34.1,"No"
"4: Chr + Passive NC (Reg)","Right-skewed",0.52,10.45,2040,9.2,3.38,2.37,88.42,1.996,21,"Yes"
"5: Chr + Active NC (Reg)","Right-skewed",0.52,10.92,2050,9.98,3.75,6.25,83.76,1.996,23.3,"Yes"
"1: Chr + Nones (Free)","Left-skewed",0.48,0.48,1980,0,0.01,0,100,1.168,0,"No"
"2: Chr + Passive NC (Free)","Left-skewed",0.48,0.48,1980,0,0.01,0.04,99.96,0.866,0,"No"
"3: Chr + Active NC (Free)","Left-skewed",0.47,0.47,1980,0,0.01,0.07,99.92,0.707,0,"No"
"4: Chr + Passive NC (Reg)","Left-skewed",0.48,0.48,1980,0,0.01,0.02,99.98,0.719,0,"No"
"5: Chr + Active NC (Reg)","Left-skewed",0.48,0.48,1980,0,0.01,0.04,99.96,0.656,0,"No"
