"param_label","param_value","peak_pct","peak_year","final_pct","final_R_mean","R_dist"
"N = 5,000 (baseline)",5000,0.6,2011,0.2,1.147,"normal"
"N = 10,000",10000,0.5,2009,0.2,1.133,"normal"
"N = 20,000",20000,0.5,2011,0.2,1.137,"normal"
"N = 5,000 (baseline)",5000,0.7,2012,0.2,1.081,"bimodal"
"N = 10,000",10000,0.6,2010,0.2,1.077,"bimodal"
"N = 20,000",20000,0.6,2010,0.2,1.094,"bimodal"
"N = 5,000 (baseline)",5000,10.4,2040,9.2,1.996,"right_skewed"
"N = 10,000",10000,10.3,2040,9,1.996,"right_skewed"
"N = 20,000",20000,10.5,2038,9.2,1.996,"right_skewed"
"N = 5,000 (baseline)",5000,0.5,1980,0,0.719,"left_skewed"
"N = 10,000",10000,0.5,1980,0,0.711,"left_skewed"
"N = 20,000",20000,0.5,1980,0,0.577,"left_skewed"
