"Scenario","R_Dist","Y1980","Y1990","Y2000","Y2010","Y2020","Y2030","Y2040","Y2050","Y2060","Y2070","Y2080"
"1: Chr + Nones (Free)","Normal",0.51,0.99,1.94,2.79,3.1,3.05,2.83,2.57,2.26,2,1.74
"2: Chr + Passive NC (Free)","Normal",0.5,0.78,1.21,1.61,1.67,1.63,1.53,1.37,1.18,1.04,0.91
"3: Chr + Active NC (Free)","Normal",0.51,0.72,1.07,1.36,1.43,1.46,1.38,1.27,1.15,1,0.85
"4: Chr + Passive NC (Reg)","Normal",0.5,0.49,0.54,0.56,0.54,0.47,0.39,0.35,0.3,0.25,0.22
"5: Chr + Active NC (Reg)","Normal",0.5,0.48,0.49,0.49,0.47,0.42,0.36,0.29,0.25,0.22,0.19
"1: Chr + Nones (Free)","Bimodal",0.51,0.96,2.04,2.91,3.1,2.88,2.56,2.2,1.86,1.57,1.31
"2: Chr + Passive NC (Free)","Bimodal",0.51,0.81,1.33,1.76,1.8,1.69,1.52,1.32,1.14,0.95,0.79
"3: Chr + Active NC (Free)","Bimodal",0.51,0.77,1.2,1.51,1.6,1.54,1.41,1.25,1.08,0.92,0.78
"4: Chr + Passive NC (Reg)","Bimodal",0.49,0.49,0.59,0.66,0.6,0.54,0.46,0.38,0.31,0.27,0.23
"5: Chr + Active NC (Reg)","Bimodal",0.5,0.48,0.52,0.53,0.48,0.43,0.38,0.31,0.27,0.23,0.19
"1: Chr + Nones (Free)","Right-skewed",0.55,10.32,43.5,48.22,46.63,45.34,44.04,42.65,41.04,39.17,37.31
"2: Chr + Passive NC (Free)","Right-skewed",0.55,6.62,37.89,52.31,52.9,52.24,51.11,49.69,48.05,46.43,44.38
"3: Chr + Active NC (Free)","Right-skewed",0.55,4.82,25.88,50.18,57.97,59,58.16,56.71,55.04,53.21,51.08
"4: Chr + Passive NC (Reg)","Right-skewed",0.52,1.47,4.03,7.24,9.24,10.21,10.43,10.34,9.98,9.58,9.2
"5: Chr + Active NC (Reg)","Right-skewed",0.52,1.33,3.37,5.98,8.1,9.67,10.63,10.91,10.76,10.41,9.98
"1: Chr + Nones (Free)","Left-skewed",0.48,0.19,0.08,0.04,0.03,0.02,0.01,0.01,0,0,0
"2: Chr + Passive NC (Free)","Left-skewed",0.48,0.21,0.08,0.04,0.03,0.02,0.01,0.01,0.01,0.01,0
"3: Chr + Active NC (Free)","Left-skewed",0.47,0.2,0.08,0.05,0.03,0.02,0.01,0.01,0.01,0.01,0
"4: Chr + Passive NC (Reg)","Left-skewed",0.48,0.19,0.08,0.03,0.02,0.01,0.01,0.01,0,0,0
"5: Chr + Active NC (Reg)","Left-skewed",0.48,0.17,0.06,0.03,0.02,0.01,0.01,0.01,0.01,0,0
